result,pnl,lot,entry,sl,tp1,tp2,direction,bar,time,engine,balance_before,balance_after
SL,-52.16,0.5,4620.7001953125,4610.268553014633,4631.131837610367,4639.477151448662,LONG,684,2026-01-16 15:00:00+00:00,EMA,9869.989999999996,9817.83
SL,-42.83,0.5,4587.2998046875,4595.866620191146,4578.732989183854,4571.879536780939,SHORT,707,2026-01-16 20:45:00+00:00,EMA,9817.829999999996,9775.0
SL,-82.92,0.5,4853.7001953125,4870.284241843861,4837.116148781139,4823.84891155605,SHORT,845,2026-01-21 14:45:00+00:00,EMA,9774.999999999996,9692.08
SL,-48.64,0.5,4815.0,4824.727557813969,4805.272442186031,4797.490395934856,SHORT,932,2026-01-22 13:30:00+00:00,EMA,9692.079999999996,9643.44
SL,-53.9,0.5,4847.7998046875,4837.019644306193,4858.579965068807,4867.204093373853,LONG,936,2026-01-22 14:30:00+00:00,EMA,9643.439999999997,9589.54
SL,-37.79,0.5,4958.0,4950.44235763147,4965.55764236853,4971.603756263354,LONG,999,2026-01-23 07:15:00+00:00,EMA,9589.539999999997,9551.75
SL,-49.29,0.5,4941.2001953125,4931.34159017285,4951.05880045215,4958.94568456387,LONG,1022,2026-01-23 13:00:00+00:00,EMA,9551.749999999996,9502.46
TP2,73.11,0.5,5077.7998046875,5077.7998046875,5067.35613125254,5059.001192504572,SHORT,1114,2026-01-26 13:00:00+00:00,EMA,9502.459999999995,9575.57
SL,-68.04,0.5,5088.2001953125,5074.593090857285,5101.807299767715,5112.692983331888,LONG,1123,2026-01-26 15:15:00+00:00,EMA,9575.569999999996,9507.53
SL,-88.33,0.5,5074.0,5091.666435909043,5056.333564090957,5042.200415363723,SHORT,1128,2026-01-26 16:30:00+00:00,EMA,9507.529999999995,9419.2
SL,-92.6,0.5,5060.2001953125,5078.721192379037,5041.679198245963,5026.862400592733,SHORT,1136,2026-01-26 18:30:00+00:00,EMA,9419.199999999995,9326.6
TP2,132.07,0.43,5057.7001953125,5057.7001953125,5079.638929734669,5097.189917272404,LONG,1160,2026-01-27 01:30:00+00:00,EMA,9326.599999999995,9458.67
